cpuUsage,memoryUsage,userName,poolName,dayOfTheWeek,hourOfTheDay
1395,1184,Thorin,APACPreSales,Friday,22
2002,749,Balin,IndiaMarketing,Monday,5
968,1281,Balrog,APACPreSales,Thursday,21
2271,1953,Gandalf,IndiaMarketing,Tuesday,13
2679,1379,Frodo,APACPreSales,Wednesday,7
2159,864,Balrog,IndiaMarketing,Monday,21
589,1042,Gandalf,APACPreSales,Monday,8
2859,1982,Frodo,IndiaMarketing,Friday,6
1281,1346,Samwise,APACPreSales,Monday,22
1910,1041,Saruman,IndiaMarketing,Thursday,4
1993,553,Bilbo,APACPreSales,Tuesday,23
2454,986,Thorin,IndiaMarketing,Wednesday,7
447,578,Balin,APACPreSales,Monday,13
2298,697,Balrog,IndiaMarketing,Monday,18
2089,1346,Gandalf,APACPreSales,Friday,14
2259,1135,Frodo,IndiaMarketing,Monday,16
2662,1615,Balrog,APACPreSales,Thursday,1
2941,1688,Gandalf,IndiaMarketing,Tuesday,10
1268,726,Frodo,APACPreSales,Wednesday,2
291,750,Samwise,IndiaMarketing,Monday,1
715,1160,Saruman,APACPreSales,Monday,16
2963,724,Bilbo,IndiaMarketing,Friday,8
1143,1649,Thorin,APACPreSales,Monday,23
2126,1872,Balin,IndiaMarketing,Thursday,6
2714,1744,Balrog,APACPreSales,Tuesday,8
2175,642,Gandalf,IndiaMarketing,Wednesday,20
1383,1897,Frodo,APACPreSales,Monday,6
648,1148,Balrog,IndiaMarketing,Monday,2
2136,1279,Gandalf,APACPreSales,Friday,23
644,1266,Frodo,IndiaMarketing,Monday,3
1403,1692,Samwise,APACPreSales,Thursday,6
647,2031,Saruman,IndiaMarketing,Tuesday,6
2592,1347,Bilbo,APACPreSales,Wednesday,0
316,1152,Thorin,IndiaMarketing,Monday,6
2654,1567,Balin,APACPreSales,Monday,6
2824,1721,Balrog,IndiaMarketing,Friday,20
2732,1636,Gandalf,APACPreSales,Monday,1
1745,1744,Frodo,IndiaMarketing,Thursday,20
780,1091,Balrog,APACPreSales,Tuesday,18
2575,938,Gandalf,IndiaMarketing,Wednesday,4
1423,1933,Frodo,APACPreSales,Monday,20
368,974,Samwise,IndiaMarketing,Monday,5
2321,798,Saruman,APACPreSales,Friday,10
2089,1126,Bilbo,IndiaMarketing,Monday,7
2768,1448,Thorin,APACPreSales,Thursday,2
543,1387,Balin,IndiaMarketing,Tuesday,16
1423,1620,Balrog,APACPreSales,Wednesday,14
777,1443,Gandalf,IndiaMarketing,Monday,0
619,1866,Frodo,APACPreSales,Monday,18
2688,1634,Balrog,IndiaMarketing,Friday,17
2845,944,Gandalf,APACPreSales,Monday,1
901,1135,Frodo,IndiaMarketing,Thursday,11
2379,737,Samwise,APACPreSales,Tuesday,8
1505,1770,Saruman,IndiaMarketing,Wednesday,13
1694,1063,Bilbo,APACPreSales,Monday,8
1630,844,Thorin,IndiaMarketing,Monday,5
1370,620,Balin,APACPreSales,Friday,5
2043,958,Balrog,IndiaMarketing,Monday,18
2592,958,Gandalf,APACPreSales,Thursday,13
554,1828,Frodo,IndiaMarketing,Tuesday,18
692,2016,Balrog,APACPreSales,Wednesday,17
274,1130,Gandalf,IndiaMarketing,Monday,16
665,967,Frodo,APACPreSales,Monday,12
1956,515,Samwise,IndiaMarketing,Friday,4
1712,1325,Saruman,APACPreSales,Monday,16
716,2045,Bilbo,IndiaMarketing,Thursday,12
788,1281,Thorin,APACPreSales,Tuesday,14
2581,1028,Balin,IndiaMarketing,Wednesday,4
2264,758,Balrog,APACPreSales,Monday,9
328,824,Gandalf,IndiaMarketing,Monday,20
989,777,Frodo,APACPreSales,Friday,18
1883,1439,Balrog,IndiaMarketing,Monday,18
2383,1004,Gandalf,APACPreSales,Thursday,1
1292,1591,Frodo,IndiaMarketing,Tuesday,8
2887,932,Samwise,APACPreSales,Wednesday,13
943,1295,Saruman,IndiaMarketing,Monday,11
290,661,Bilbo,APACPreSales,Monday,23
1148,979,Thorin,IndiaMarketing,Friday,12
1478,1402,Balin,APACPreSales,Monday,14
2876,766,Balrog,IndiaMarketing,Thursday,10
1673,2007,Gandalf,APACPreSales,Tuesday,4
1433,1667,Frodo,IndiaMarketing,Wednesday,21
2088,1827,Balrog,APACPreSales,Monday,9
2914,1372,Gandalf,IndiaMarketing,Monday,15
279,1819,Frodo,APACPreSales,Friday,21
1945,562,Samwise,IndiaMarketing,Monday,10
1914,892,Saruman,APACPreSales,Thursday,21
445,1747,Bilbo,IndiaMarketing,Tuesday,23
518,1081,Thorin,APACPreSales,Wednesday,13
283,1453,Balin,IndiaMarketing,Monday,9
1696,710,Balrog,APACPreSales,Monday,18
2663,683,Gandalf,IndiaMarketing,Friday,7
2657,1067,Frodo,APACPreSales,Monday,0
1227,1324,Balrog,IndiaMarketing,Thursday,14
1753,516,Gandalf,APACPreSales,Tuesday,1
1951,522,Frodo,IndiaMarketing,Wednesday,0
1795,1771,Samwise,APACPreSales,Monday,12
1907,725,Saruman,IndiaMarketing,Monday,10
2584,749,Bilbo,APACPreSales,Friday,6
1078,1950,Thorin,IndiaMarketing,Monday,18
255,1950,Balin,APACPreSales,Thursday,18
315,1387,Balrog,IndiaMarketing,Tuesday,3
920,1159,Gandalf,APACPreSales,Wednesday,18
2500,1597,Frodo,IndiaMarketing,Monday,8
2517,1866,Balrog,APACPreSales,Monday,22
507,669,Gandalf,IndiaMarketing,Friday,10
1229,1948,Frodo,APACPreSales,Monday,23
369,1302,Samwise,IndiaMarketing,Thursday,15
2992,718,Saruman,APACPreSales,Tuesday,6
2138,1239,Bilbo,IndiaMarketing,Wednesday,22
565,1242,Thorin,APACPreSales,Monday,5
365,801,Balin,IndiaMarketing,Monday,20
2745,1870,Balrog,APACPreSales,Friday,13
2883,1450,Gandalf,IndiaMarketing,Monday,14
2528,1366,Frodo,APACPreSales,Thursday,20
276,1120,Balrog,IndiaMarketing,Tuesday,9
1652,1035,Gandalf,APACPreSales,Wednesday,14
710,1295,Frodo,IndiaMarketing,Monday,16
786,889,Samwise,APACPreSales,Monday,10
1624,1055,Saruman,IndiaMarketing,Friday,21
627,1016,Bilbo,APACPreSales,Monday,10
1170,906,Thorin,IndiaMarketing,Thursday,12
1393,1874,Balin,APACPreSales,Tuesday,2
2028,1269,Balrog,IndiaMarketing,Wednesday,23
1122,1649,Gandalf,APACPreSales,Monday,21
2224,953,Frodo,IndiaMarketing,Monday,4
625,1473,Balrog,APACPreSales,Friday,16
1316,791,Gandalf,IndiaMarketing,Monday,23
2184,934,Frodo,APACPreSales,Thursday,1
2692,1488,Samwise,IndiaMarketing,Tuesday,16
426,1399,Saruman,APACPreSales,Wednesday,21
541,2032,Bilbo,IndiaMarketing,Monday,20
413,579,Thorin,APACPreSales,Monday,3
2391,1233,Balin,IndiaMarketing,Friday,9
1270,1176,Balrog,APACPreSales,Monday,21
1545,1077,Gandalf,IndiaMarketing,Thursday,3
2252,1463,Frodo,APACPreSales,Tuesday,6
413,1656,Balrog,IndiaMarketing,Wednesday,4
315,1640,Gandalf,APACPreSales,Monday,21
1446,1740,Frodo,IndiaMarketing,Monday,16
1967,1229,Samwise,APACPreSales,Friday,22
1398,1170,Saruman,IndiaMarketing,Monday,16
966,2011,Bilbo,APACPreSales,Thursday,3
2732,1258,Thorin,IndiaMarketing,Tuesday,17
1238,1587,Balin,APACPreSales,Wednesday,14
2271,1210,Balrog,IndiaMarketing,Monday,3
391,1639,Gandalf,APACPreSales,Monday,18
2002,1442,Frodo,IndiaMarketing,Friday,11
1216,622,Balrog,APACPreSales,Monday,15
1418,816,Gandalf,IndiaMarketing,Thursday,20
1851,838,Frodo,APACPreSales,Tuesday,23
1374,1435,Samwise,IndiaMarketing,Wednesday,4
2795,759,Saruman,APACPreSales,Monday,16
1358,1081,Bilbo,IndiaMarketing,Monday,16
1838,1470,Thorin,APACPreSales,Friday,19
1000,1613,Balin,IndiaMarketing,Monday,16
2190,1011,Balrog,APACPreSales,Thursday,15
2448,617,Gandalf,IndiaMarketing,Tuesday,21
2733,1703,Frodo,APACPreSales,Wednesday,20
2560,1942,Balrog,IndiaMarketing,Monday,9
1665,1374,Gandalf,APACPreSales,Monday,2
2783,1463,Frodo,IndiaMarketing,Friday,18
1254,1634,Samwise,APACPreSales,Monday,12
1485,879,Saruman,IndiaMarketing,Thursday,13
2109,1204,Bilbo,APACPreSales,Tuesday,16
1877,862,Thorin,IndiaMarketing,Wednesday,3
1188,574,Balin,APACPreSales,Monday,22
2039,1710,Balrog,IndiaMarketing,Monday,23
1540,1423,Gandalf,APACPreSales,Friday,13
1288,1763,Frodo,IndiaMarketing,Monday,11
2519,591,Balrog,APACPreSales,Thursday,0
1577,1785,Gandalf,IndiaMarketing,Tuesday,8
363,1023,Frodo,APACPreSales,Wednesday,13
2624,708,Samwise,IndiaMarketing,Monday,14
1885,1214,Saruman,APACPreSales,Monday,13
1103,672,Bilbo,IndiaMarketing,Friday,2
1840,1428,Thorin,APACPreSales,Monday,12
1456,880,Balin,IndiaMarketing,Thursday,5
767,1067,Balrog,APACPreSales,Tuesday,11
1759,792,Gandalf,IndiaMarketing,Wednesday,6
2920,546,Frodo,APACPreSales,Monday,11
2185,1954,Balrog,IndiaMarketing,Monday,18
2660,1960,Gandalf,APACPreSales,Friday,10
527,932,Frodo,IndiaMarketing,Monday,7
1181,1740,Samwise,APACPreSales,Thursday,16
2434,1287,Saruman,IndiaMarketing,Tuesday,17
1157,1234,Bilbo,APACPreSales,Wednesday,17
775,1104,Thorin,IndiaMarketing,Monday,6
1749,1113,Balin,APACPreSales,Monday,10
2797,1236,Balrog,IndiaMarketing,Friday,13
1045,520,Gandalf,APACPreSales,Monday,5
1903,1298,Frodo,IndiaMarketing,Thursday,8
1637,2042,Balrog,APACPreSales,Tuesday,20
2088,904,Gandalf,IndiaMarketing,Wednesday,8
566,1701,Frodo,APACPreSales,Monday,17
936,644,Samwise,IndiaMarketing,Monday,15
621,514,Saruman,APACPreSales,Friday,3
1520,1453,Bilbo,IndiaMarketing,Monday,11
524,975,Thorin,APACPreSales,Thursday,9
615,1690,Balin,IndiaMarketing,Tuesday,15
2453,994,Balrog,APACPreSales,Wednesday,5
737,1036,Gandalf,IndiaMarketing,Monday,12
2730,1553,Frodo,APACPreSales,Monday,22
291,785,Balrog,IndiaMarketing,Friday,9
2084,1434,Gandalf,APACPreSales,Monday,5
402,635,Frodo,IndiaMarketing,Thursday,17
1766,840,Samwise,APACPreSales,Tuesday,23
2795,1501,Saruman,IndiaMarketing,Wednesday,23
941,1904,Bilbo,APACPreSales,Monday,16
1065,662,Thorin,IndiaMarketing,Monday,19
2807,522,Balin,APACPreSales,Friday,8
572,1969,Balrog,IndiaMarketing,Monday,9
2576,1350,Gandalf,APACPreSales,Thursday,2
2942,713,Frodo,IndiaMarketing,Tuesday,18
1565,1517,Balrog,APACPreSales,Wednesday,16
2823,888,Gandalf,IndiaMarketing,Monday,0
2333,1901,Frodo,APACPreSales,Monday,1
1455,1397,Samwise,IndiaMarketing,Friday,14
2320,896,Saruman,APACPreSales,Monday,14
2350,1885,Bilbo,IndiaMarketing,Thursday,11
2130,652,Thorin,APACPreSales,Tuesday,21
429,1655,Balin,IndiaMarketing,Wednesday,10
1495,1455,Balrog,APACPreSales,Monday,22
1844,1972,Gandalf,IndiaMarketing,Monday,12
2129,1876,Frodo,APACPreSales,Friday,15
2993,2045,Balrog,IndiaMarketing,Monday,4
1730,1159,Gandalf,APACPreSales,Thursday,10
413,790,Frodo,IndiaMarketing,Tuesday,22
2124,1907,Samwise,APACPreSales,Wednesday,11
973,1496,Saruman,IndiaMarketing,Monday,5
1219,1496,Bilbo,APACPreSales,Monday,16
674,1289,Thorin,IndiaMarketing,Friday,20
1603,1174,Balin,APACPreSales,Monday,1
2804,831,Balrog,IndiaMarketing,Thursday,5
1694,1375,Gandalf,APACPreSales,Tuesday,3
2727,1173,Frodo,IndiaMarketing,Wednesday,22
2763,747,Balrog,APACPreSales,Monday,20
480,1842,Gandalf,IndiaMarketing,Monday,11
2660,1566,Frodo,APACPreSales,Friday,17
2326,1087,Samwise,IndiaMarketing,Monday,11
1345,656,Saruman,APACPreSales,Thursday,18
850,916,Bilbo,IndiaMarketing,Tuesday,7
1234,854,Thorin,APACPreSales,Wednesday,23
2693,1324,Balin,IndiaMarketing,Monday,2
1079,838,Balrog,APACPreSales,Monday,17
665,1785,Gandalf,IndiaMarketing,Friday,12
1722,1661,Frodo,APACPreSales,Monday,15
2615,1907,Balrog,IndiaMarketing,Thursday,22
842,512,Gandalf,APACPreSales,Tuesday,1
1865,1589,Frodo,IndiaMarketing,Wednesday,9
1477,1405,Samwise,APACPreSales,Monday,22
2766,1468,Saruman,IndiaMarketing,Monday,22
2171,2047,Bilbo,APACPreSales,Friday,11
2454,1613,Thorin,IndiaMarketing,Monday,23
2080,1023,Balin,APACPreSales,Thursday,22
2900,1257,Balrog,IndiaMarketing,Tuesday,4
551,1489,Gandalf,APACPreSales,Wednesday,6
271,1282,Frodo,IndiaMarketing,Monday,9
2467,583,Balrog,APACPreSales,Monday,17
2490,1230,Gandalf,IndiaMarketing,Friday,3
2078,958,Frodo,APACPreSales,Monday,5
2397,975,Samwise,IndiaMarketing,Thursday,4
2544,827,Saruman,APACPreSales,Tuesday,11
2791,1339,Bilbo,IndiaMarketing,Wednesday,8
1220,1784,Thorin,APACPreSales,Monday,6
2028,1833,Balin,IndiaMarketing,Monday,13
1652,1178,Balrog,APACPreSales,Friday,2
843,904,Gandalf,IndiaMarketing,Monday,19
1080,1716,Frodo,APACPreSales,Thursday,15
1037,1446,Balrog,IndiaMarketing,Tuesday,15
2237,1520,Gandalf,APACPreSales,Wednesday,16
1158,577,Frodo,IndiaMarketing,Monday,13
1605,1033,Samwise,APACPreSales,Monday,3
507,1067,Saruman,IndiaMarketing,Friday,16
1038,1781,Bilbo,APACPreSales,Monday,2
2988,1773,Thorin,IndiaMarketing,Thursday,17
2142,1701,Balin,APACPreSales,Tuesday,10
946,685,Balrog,IndiaMarketing,Wednesday,4
2503,613,Gandalf,APACPreSales,Monday,7
2811,1392,Frodo,IndiaMarketing,Monday,11
1958,1625,Balrog,APACPreSales,Friday,12
2142,1380,Gandalf,IndiaMarketing,Monday,18
1431,1114,Frodo,APACPreSales,Thursday,1
2914,1429,Samwise,IndiaMarketing,Tuesday,14
1989,1403,Saruman,APACPreSales,Wednesday,8
1062,945,Bilbo,IndiaMarketing,Monday,16
476,1955,Thorin,APACPreSales,Monday,23
2400,1767,Balin,IndiaMarketing,Friday,5
1476,1640,Balrog,APACPreSales,Monday,8
2282,880,Gandalf,IndiaMarketing,Thursday,4
493,1921,Frodo,APACPreSales,Tuesday,19
1956,1867,Balrog,IndiaMarketing,Wednesday,4
957,924,Gandalf,APACPreSales,Monday,16
716,1844,Frodo,IndiaMarketing,Monday,3
1534,722,Samwise,APACPreSales,Friday,12
383,771,Saruman,IndiaMarketing,Monday,4
403,1998,Bilbo,APACPreSales,Thursday,10
387,1679,Thorin,IndiaMarketing,Tuesday,9
775,1833,Balin,APACPreSales,Wednesday,5
1662,1038,Balrog,IndiaMarketing,Monday,20
2907,685,Gandalf,APACPreSales,Monday,13
1513,633,Frodo,IndiaMarketing,Friday,3
2187,725,Balrog,APACPreSales,Monday,19
1041,1193,Gandalf,IndiaMarketing,Thursday,15
2579,1877,Frodo,APACPreSales,Tuesday,0
1021,1754,Samwise,IndiaMarketing,Wednesday,6
541,895,Saruman,APACPreSales,Monday,18
2016,1544,Bilbo,IndiaMarketing,Monday,18
762,1284,Thorin,APACPreSales,Friday,19
1169,1503,Balin,IndiaMarketing,Monday,21
487,1380,Balrog,APACPreSales,Thursday,8
1009,1864,Gandalf,IndiaMarketing,Tuesday,6
2197,1471,Frodo,APACPreSales,Wednesday,3
1557,1520,Balrog,IndiaMarketing,Monday,15
685,1363,Gandalf,APACPreSales,Monday,7
1813,635,Frodo,IndiaMarketing,Friday,19
2252,1961,Samwise,APACPreSales,Monday,3
1027,720,Saruman,IndiaMarketing,Thursday,1
1708,1202,Bilbo,APACPreSales,Tuesday,3
1206,1506,Thorin,IndiaMarketing,Wednesday,17
2657,737,Balin,APACPreSales,Monday,22
2864,1075,Balrog,IndiaMarketing,Monday,13
1167,517,Gandalf,APACPreSales,Friday,22
995,1763,Frodo,IndiaMarketing,Monday,10
1892,1829,Balrog,APACPreSales,Thursday,1
2446,951,Gandalf,IndiaMarketing,Tuesday,22
909,1640,Frodo,APACPreSales,Wednesday,21
2630,1339,Samwise,IndiaMarketing,Monday,12
2289,1843,Saruman,APACPreSales,Monday,10
290,1994,Bilbo,IndiaMarketing,Friday,22
523,1901,Thorin,APACPreSales,Monday,14
1124,551,Balin,IndiaMarketing,Thursday,13
992,1952,Balrog,APACPreSales,Tuesday,13
1311,1867,Gandalf,IndiaMarketing,Wednesday,1
608,960,Frodo,APACPreSales,Monday,0
932,1063,Balrog,IndiaMarketing,Monday,23
1190,952,Gandalf,APACPreSales,Friday,6
736,773,Frodo,IndiaMarketing,Monday,0
1681,1542,Samwise,APACPreSales,Thursday,2
2697,1057,Saruman,IndiaMarketing,Tuesday,13
2446,756,Bilbo,APACPreSales,Wednesday,11
2255,861,Thorin,IndiaMarketing,Monday,17
294,526,Balin,APACPreSales,Monday,19
2816,1433,Balrog,IndiaMarketing,Friday,23
1112,963,Gandalf,APACPreSales,Monday,18
1350,1678,Frodo,IndiaMarketing,Thursday,4
2743,1150,Balrog,APACPreSales,Tuesday,23
1677,2047,Gandalf,IndiaMarketing,Wednesday,14
2895,1291,Frodo,APACPreSales,Monday,4
1908,2034,Samwise,IndiaMarketing,Monday,21
1519,1331,Saruman,APACPreSales,Friday,21
2004,1564,Bilbo,IndiaMarketing,Monday,9
1114,1284,Thorin,APACPreSales,Thursday,9
297,979,Balin,IndiaMarketing,Tuesday,4
1482,1911,Balrog,APACPreSales,Wednesday,18
886,1768,Gandalf,IndiaMarketing,Monday,0
567,1382,Frodo,APACPreSales,Monday,13
1500,1968,Balrog,IndiaMarketing,Friday,11
1003,1601,Gandalf,APACPreSales,Monday,4
2616,2019,Frodo,IndiaMarketing,Thursday,9
911,912,Samwise,APACPreSales,Tuesday,6
2534,617,Saruman,IndiaMarketing,Wednesday,21
2517,1530,Bilbo,APACPreSales,Monday,6
2808,772,Thorin,IndiaMarketing,Monday,17
2116,2021,Balin,APACPreSales,Friday,18
2486,1322,Balrog,IndiaMarketing,Monday,8
1085,953,Gandalf,APACPreSales,Thursday,8
1712,847,Frodo,IndiaMarketing,Tuesday,0
1391,1448,Balrog,APACPreSales,Wednesday,0
1781,1544,Gandalf,IndiaMarketing,Monday,1
2363,662,Frodo,APACPreSales,Monday,7
1845,609,Samwise,IndiaMarketing,Friday,21
1598,1466,Saruman,APACPreSales,Monday,21
1886,1574,Bilbo,IndiaMarketing,Thursday,5
932,1692,Thorin,APACPreSales,Tuesday,0
1370,1213,Balin,IndiaMarketing,Wednesday,13
738,1575,Balrog,APACPreSales,Monday,13
1863,1286,Gandalf,IndiaMarketing,Monday,8
2582,1839,Frodo,APACPreSales,Friday,5
2343,1489,Balrog,IndiaMarketing,Monday,3
750,1342,Gandalf,APACPreSales,Thursday,23
1324,817,Frodo,IndiaMarketing,Tuesday,21
906,1682,Samwise,APACPreSales,Wednesday,8
612,1362,Saruman,IndiaMarketing,Monday,20
1293,1139,Bilbo,APACPreSales,Monday,7
2139,1575,Thorin,IndiaMarketing,Friday,22
2227,580,Balin,APACPreSales,Monday,6
867,644,Balrog,IndiaMarketing,Thursday,7
700,1397,Gandalf,APACPreSales,Tuesday,2
2600,884,Frodo,IndiaMarketing,Wednesday,20
1436,917,Balrog,APACPreSales,Monday,19
740,1030,Gandalf,IndiaMarketing,Monday,17
800,983,Frodo,APACPreSales,Friday,4
2376,1230,Samwise,IndiaMarketing,Monday,13
538,1338,Saruman,APACPreSales,Thursday,10
353,1367,Bilbo,IndiaMarketing,Tuesday,5
2046,1975,Thorin,APACPreSales,Wednesday,9
2592,836,Balin,IndiaMarketing,Monday,23
830,1683,Balrog,APACPreSales,Monday,5
2475,1678,Gandalf,IndiaMarketing,Friday,23
2336,1040,Frodo,APACPreSales,Monday,7
2006,871,Balrog,IndiaMarketing,Thursday,6
1050,1158,Gandalf,APACPreSales,Tuesday,4
1578,743,Frodo,IndiaMarketing,Wednesday,3
2523,1272,Samwise,APACPreSales,Monday,21
2739,853,Saruman,IndiaMarketing,Monday,18
1765,1352,Bilbo,APACPreSales,Friday,15
1143,1290,Thorin,IndiaMarketing,Monday,5
1661,606,Balin,APACPreSales,Thursday,3
1998,964,Balrog,IndiaMarketing,Tuesday,1
1570,778,Gandalf,APACPreSales,Wednesday,16
1836,782,Frodo,IndiaMarketing,Monday,13
2451,1765,Balrog,APACPreSales,Monday,16
1341,1016,Gandalf,IndiaMarketing,Friday,14
2847,982,Frodo,APACPreSales,Monday,17
2391,513,Samwise,IndiaMarketing,Thursday,20
751,766,Saruman,APACPreSales,Tuesday,11
426,1150,Bilbo,IndiaMarketing,Wednesday,17
460,1548,Thorin,APACPreSales,Monday,19
322,779,Balin,IndiaMarketing,Monday,4
2919,1265,Balrog,APACPreSales,Friday,15
1579,1910,Gandalf,IndiaMarketing,Monday,7
1148,1135,Frodo,APACPreSales,Thursday,9
2469,649,Balrog,IndiaMarketing,Tuesday,21
2471,1479,Gandalf,APACPreSales,Wednesday,23
2614,1791,Frodo,IndiaMarketing,Monday,6
2087,1484,Samwise,APACPreSales,Monday,0
2605,667,Saruman,IndiaMarketing,Friday,17
1741,549,Bilbo,APACPreSales,Monday,13
2509,1888,Thorin,IndiaMarketing,Thursday,9
2582,891,Balin,APACPreSales,Tuesday,3
1000,843,Balrog,IndiaMarketing,Wednesday,22
1861,1000,Gandalf,APACPreSales,Monday,11
1101,862,Frodo,IndiaMarketing,Monday,20
2322,528,Balrog,APACPreSales,Friday,13
2292,944,Gandalf,IndiaMarketing,Monday,7
2372,590,Frodo,APACPreSales,Thursday,0
2250,1663,Samwise,IndiaMarketing,Tuesday,20
346,665,Saruman,APACPreSales,Wednesday,21
1064,1824,Bilbo,IndiaMarketing,Monday,23
969,661,Thorin,APACPreSales,Monday,15
1835,831,Balin,IndiaMarketing,Friday,4
2384,1239,Balrog,APACPreSales,Monday,20
2260,1597,Gandalf,IndiaMarketing,Thursday,12
1975,1758,Frodo,APACPreSales,Tuesday,19
1911,1294,Balrog,IndiaMarketing,Wednesday,4
1821,743,Gandalf,APACPreSales,Monday,2
804,1031,Frodo,IndiaMarketing,Monday,15
2710,733,Samwise,APACPreSales,Friday,2
2813,669,Saruman,IndiaMarketing,Monday,7
600,763,Bilbo,APACPreSales,Thursday,7
1490,824,Thorin,IndiaMarketing,Tuesday,19
681,1648,Balin,APACPreSales,Wednesday,3
2685,1366,Balrog,IndiaMarketing,Monday,5
1133,1019,Gandalf,APACPreSales,Monday,17
2783,1654,Frodo,IndiaMarketing,Friday,4
1562,1849,Balrog,APACPreSales,Monday,15
1786,1980,Gandalf,IndiaMarketing,Thursday,23
2699,1246,Frodo,APACPreSales,Tuesday,12
597,935,Samwise,IndiaMarketing,Wednesday,9
426,1948,Saruman,APACPreSales,Monday,20
1211,1914,Bilbo,IndiaMarketing,Monday,12
1026,687,Thorin,APACPreSales,Friday,1
2313,915,Balin,IndiaMarketing,Monday,22
1591,1464,Balrog,APACPreSales,Thursday,12
2384,1631,Gandalf,IndiaMarketing,Tuesday,2
